Signatur;Kategorie;Schreiber;Empfaenger;Datierung;Ort;Regest;Bemerkungen;Olim;InterneBemerkung;ErfasstVon;ErfasstAm;GeaendertAm;Exportiert;ExportiertAm;ExportHinweis
9.6.161;Brief;Maldini, Rudolf Freiherr v.;;;;"Dank an ""Euer kais. köngliche Hoheit"" für die Güte, mit der seine Werke angenommen werden und für das kostbare Geschenk.";"Als Zusatz zur Unterschrift: Schulleiter.
Rudolf Baron von Maldini Wildenhainski (1870-1944) war ein kroatischer Schriftsteller, Übersetzer, Pädagoge und Enigmatiker, der vorallem kulturhistorische Beschreibungen, Reiseberichte, Gedichte und Kinderbücher veröffentlichte. Sein Hauptwerk ist die 1909 veröffentlichte Monographie ""Bosna i Hercegovina. Opisana i ocrtana"" (Bosnien und Herzegowina: Beschrieben und gezeichnet).  Womöglich bezieht sich der Brief auf dieses Werk.
";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-16 15:53:22;2026-06-16 16:12:10;Nein;;
9.6.162;Brief;Mayr;;19080422;;"Baron Mayr bittet im Namen des Banus von Kroatioen, Baron Rauch, den Adressaten ""Eure Durchlaucht"" um Vermittlung einer Audienz für Baron Rauch bei den kaiserlich-königlichen Hoheiten, der sich bei seinem Wienbesuch ihnen vorstellen möchte. Da er aber vermutet, dass jetzt keine Audienzen erteilt werden, bittet er darum, sie zumindest von der Absicht Baron Rauchs zu unterrichten.";"Der Brief enthält keine Ortsangabe, allerdings einen Briefkopf links oben, der ""Kön. ung. Ministerium am Allerhöchsten Hoflager"" lautet. Baron Mayr unterschreibt mit ""Min Vice Sekretär"".";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-16 16:12:12;2026-06-16 16:23:12;Nein;;
9.6.163;Fragment;Menßhengen;;;;"vorne nur Unterschrift ""Menßhengen"".
Auf der Rückseite des sehr kleinen Fragments ist nur zu lesen ""kann ich es nicht …. lassen Eurer Exz. für Ihre gütige Verwendung in dieser"".";Die Freiherren von Mensshegen sind eine ursprünglich in Kurzmainz, später in Niederösterreich ansässige Familie. Es könnte sich um Ferdinand Freiherr von Mensshengen (1801-1885) handeln, österreichischer Diplomat zur Zeit der Restauration, oder um seinen Bruder kk.Hofrat Franz von Mensshengen (1798-1890), kaiserl. Schatzmeister des Militär-Maria-Theresien-Ordens.;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-16 16:23:15;2026-06-16 16:34:26;Nein;;
9.6.164;Brief;Meysenbug, Baronin;Schock, P. Josef (vermutlich);;Himmel;"Baronin Meysenbug bedankt sich überschwenglich beim ""hochgeehrten Herr Professor"" für einen erhaltenen Brief. Das Resultat sei Balsam für sie in ihren großen Sorgen gewesen. Auch ihr Mann möchte sich bald persönlich für die Mühe und die Freundschaft, die der Adressat für sie erwiesen hat, bedanken. Sie erwähnt auch eine ""galvanisch electrische Vorratskammer"", die ihrem Sohn bittere Sorgen macht, ""dass er dem Herrn Director nicht so viel Freude machen kann wie Ihnen."" Sie lädt den Adressaten mit seiner Mutter ein, zu Besuch zu kommen, und berichtet von einem Prälat Stöger, der bei ihr ist und sich erholt.";"Der Brief ist nur mit 27.7. datiert, aber ohne Jahreszahl. Aus dem Satz: ""… mit so schönen Regenbogenfarben wie sie uns der Herr Director im Stande war perspectivisch sehen zu lassen…"" und der Erwähung der ""galvanisch electrischen Vorratskammer"" im Zusammenhang mit dem Herrn Director kann aber geschlossen werden, dass es sich bei dem Direktor um P. Udiskalk Siegl handelt, der von 1874-1900 Direktor im Stiftsgymnasium Seitenstetten war. Also wird der Brief wohl aus dem Ende des 19. Jahrhunderts sein. Und der Adressat ""Hochgeehrter Herr Professor"" ist vermutlich P. Josef Schock.";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-16 16:34:30;2026-06-23 11:22:07;Nein;;
9.6.165;Brief;Meysenburg, Pius Frh.v.;Schock, P. Josef (vermutlich);18950419;Wien, 1. Bezirk, Neuer Markt 7;"Pius Meysenbug schreibt an ""Geehrter Herr"", in Beantwortung einer Anfrage, dass seine Tante, die Schriftstellerin Malwida von Meysenburg, in Rom (Via Polveriera 6) lebe und es für den Adressaten sicher am zweckdienlichsten sei, die Anfrage in seiner Angelegenheit direkt an sie zu richten.";Pius Rivalier Freiherr von Meysenbug (1866-1919) war ein deutscher, in Wien lebender Sänger, Textdichter, Schauspieler und Librettist. Er stammt aus der weit verzweigten Adelsfamilie Rivalier von Meysenbug und war verwandt mit der Schriftstellerin Malwida von Meysenbug (1816-1903).;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-23 11:22:09;2026-06-23 11:33:48;Nein;;
9.6.166;Visitenkarte;Meysenbug, Le Baron Aloyse de;;;Wien, 1. Bezirk, Habsburgergasse 9;"Baron Meysenbug übersendet an ""Hochwürdigen Herrn Prälat"" seine ergebenste Gratulationen zum neuen Jahr.";;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-23 11:33:51;2026-06-23 11:46:17;Nein;;
9.6.167;Visitenkarte;Meysenbug, Le Baron de;;;;;"Auf der Visitenkarte gibt es keine weiteren Anmerkungen. Dem Kovolut ""Freiherrn A-N"" der Autographensammlung liegt aber ein handschriftliches (vermutlich von P. Josef Schock) alphabethisches Verzeichnis aller in diesem Kovolut gesammelten Autographen der Freiherrn A-N bei, in dem unter dem Namen ""Meysenbug Alois"" 2 Stück verzeichnet sind. Daher liegt die Vermutung nahe, dass diese Visitenkarte von Alois Meysenbug ist. Siehe auch 9.6.166";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-23 11:42:08;2026-06-23 11:43:36;Nein;;
9.6.168;Visitenkarte;Meysenbug, J. Friederike, geb. Zinnenburg;;;;"Auf der Rückseite steht: ""Leop. Stöger, Zwettelhof, II. Stock, N° 5""";"Bei J. Friederike Meysenbug handelt es sich womöglich um Josefine Friedrike Baronin Meisenburg (1828- gest. 1900 in Prein an der Rax).
Beim auf der Rückseite vermerkten Leop. Stöger wird es sich um den auch im Brief der Baronin Meysenbug (9.6.164) angesprochenen Prälat Stöger handeln. Leopold Stöger (1814-1900) war u.a. Prälat zu St. Stephan, Diözesanschulenoberaufseher, NÖ Landesschulrat, Bezirksschulinspektor in Wien, 1861-1864 Gemeinderat in Wien, 1890 Domdechant, (siehe Österr. Biogr. Lexikon).";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-23 11:46:25;2026-06-23 12:43:02;Nein;;
9.6.169;Brief;Paumgartten, Paul Baron;;19020916;Wien;"Baron Paumgartten bedankt sich beim Adressaten (""Euer Hochwürden Hochverehrter Herr Professor"") - auch im Namen seiner Mutter - für die erwiesene Anteilnahme und schreibt, dass sein Bruder immer mit großer Verehrung vom Adressaten gesprochen  und in letzter Zeit schon sehr gelitten hätte, sodass  man sagen könne: ""Mors ei lucrum fuit"".";"Paul Paumgartten unterschreibt mit ""dankbar ergebener Schüler von ehemals"". Er kann daher ev. Schüler des Stiftsgymnasiums Seitenstetten gewesen sein, vorausgesetzt der Brief ist an ein Mitglied des Konvents von Seitenstetten (P. Josef Schock ?) gerichtet.";Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-23 12:46:53;2026-06-23 13:21:06;Nein;;
9.6.170;Visitenkarte;Paumgartten Bonazza, La baronne Amelie de;;;;;"Es gibt drei Visitenkarten von Baronin Amelie von Paumgartten Bonazza, die mit den Nummern 9.6.107 a-c versehen wurden. Nur auf 9.6.170a steht von Hand geschrieben: ""avec ses filles. p.f."", die anderen beiden sind unbeschrieben.";Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-23 13:21:08;2026-06-23 13:33:07;Nein;;
9.6.171;Brief;Paumgartten, A;;18730715;Schwechat (?);"A. Paumgartten schreibt, dass nichts die Verehrung, die er/sie dem Adressaten (""Hochwürdigster Herr Prälat"") schuldet, schmälern und nichts das Band der Dankbarkeit  lockern könne. Mehr könne er/sie nicht schreiben, denn es täte sehr weh, so mißkannt zu werden. Sollte der Herr Prälat aber wünschen, dass er/sie sich nochmal äußern solle, dann bittet er/sie, sein Vertrauen wie unter dem Beichtsiegel zu wahren.
A. Paumgartten drückt dem hochw. Prälaten und auch Pater Robert nochmals seine/ihre innigste Dankbarkeit für alle Güte, Sorgen und Teilnahme aus und bittet sie, bei Gott eine Fürbitte für ihn/sie einzulegen.";Eventuell könnte es sich beim Absender A. Paumgartten um Amelie von Paumgartten handeln, von der unter 9.6.170a-c drei Visitenkarten in der Autographensammlung vorhanden sind.;Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-23 13:33:09;2026-06-23 14:04:23;Nein;;
9.6.172;Brief;Paumgartten, Amalie;;18730406;;"Amalie Paumgartten bedankt sich beim Adressaten (""Hochwürdigenster Herr Prälat"") für Bücher, deren trostreicher Inhalt sie in den Bedrängnissen, die sie gerade heimsuchen, erquicken werde. Ihr Mann sei sehr leidend und sie bitten beide um das Gebet, den Segen, Schutz und Schirm des Hochw. Prälaten betreffend die in Seitenstetten weilenden Söhne. Sie würde gerne wissen, wie es um Anton und die zwei Kleineren steht und bittet darum, dass P. Robert ihr einmal schreibe.";"Es ist auf dem Brief als Datum nur angegeben: ""Palmsontag 73"". Palmsonntag war 1873 am 6. April.
Bei der Schreiberin Amalie Paumgartten wird es sich wahrscheinlich um die Baronin Amelie de Paumgartten Bonazza handeln, von der unter 9.6.170a-c drei Visitenkarten und vermutlich auch der Brief 9.6.171 in der Autographensammlung vorhanden sind.
Der im Brief und auch im Brief 9.6.171 angesprochene P. Robert ist wahrscheinlich P. Robert Weissenhofer (1843-1900), Benediktiner im Sstift Seitenstetten, Gymnasialprofessor und Schriftsteller (jugendbuchautor).";Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-23 14:04:26;2026-06-23 14:45:13;Nein;;
9.6.173;Fragment;Pereira, Heinrich;;;Wien, 1. Bezirk, Freiung 6;;"Es handelt sich um einen Ausschnitt mit dem Absender aus einem Briefkuvert, wobei auf der Vorderseite als Anschrift nur """"Sr. Hochwürden"" zu lesen ist.";Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-23 14:45:18;2026-06-23 14:49:01;Nein;;
9.6.174;Fragment;Pereira, Heinrich Baron;;18871017;Wien, Schottenhof;;"Es handelt sich um den Ausschnitt des Absenders aus einem Briefkuvert (wie bei 9.6.173), wobei auf der Vorderseite wiederum bei der Adresse nur ""Sr. Hochwürden"" zu lesen ist.";Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-23 14:49:03;2026-06-23 14:51:51;Nein;;
9.6.175;Fragment;Pereira, Heinrich;;;;;"Es handelt sich um ein Fragment eines Briefes. Auf der einen Seite des Fragmentes ist zu lesen: ""…der Versicherung immer mehr als man Entschädigung erhält, dazu ist es auch schon spät an der Jahreszeit, um .."" und auf der anderen Seite die Unterschrift ""Heinrich Pereira"" und von anderern Hand eine Anmerkung in Gabelsberger Kurzschrift.
Es dürfte sich beim Absender um Heinrich Freiherr von Pereira-Arnstein (1836-1903) handeln, Gutsbesitzer in Allensteig , verheiratet mit Gräfin Dorothea Széchényi (1841-1892).";Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-23 14:51:53;2026-06-23 15:03:29;Nein;;
9.6.176;Brief;Pfungen, Otto Baron;Schock, P. Josef (vermutlich);19120418;Wien, Maximilianstraße 4;"Baron Pfungen bittet den Adressaten (""Hochgeehrter Herr Kustos"") um Namhaftmachung eines kenntnisreichen, vertrauenswerten, aber nicht allzu kostspieligen Herrn, der dem Ministerialsekretär im Unterrichtsministerium, Dr. Hans Bretschneider Edler von Rechttreu, bei der Katalogisierung einer etwa 200 Münzen umfassenden Sammlung aus aller Herrn Länder helfen könnte.";"P. Josef Schock ist zwar im Brief nicht namentlich genannt, aber der Zusammenhang mit einer Münzsammlung legt nahe, dass er der Adressat war.
Otto Baron Pfungen war k.k. Ministerialsekretär und Autor in Wien, bekannt vorallem für seine technikhistorischen und wirtschaftlichen Aufzeichnungen, wie zB. die ""Notizen über amerikanische Hilz-Debitage"" (1878), die im Auftrag der Weltausstellung in Philatelphia publiziert wurden.";Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-23 15:03:32;2026-06-23 15:20:46;Nein;;
9.6.177;Brief;Pfungen, Therese;Vokler (?);19120515;;Therese Pfungen bedankt sich im Namen ihrer Tochter für die geliehenen Bücher, die sie retourniert und wünscht dem Adressaten und seiner Familie einen erholsamen Sommer.;"Da dieser Brief im Konvolut ""Freiherren O-Z"" der Autographensammlung eingeschlagen in den Brief 9.6.176 lag, liegt die Vermutung nahe, dass es sich bei Therese Pfungen um die Ehefrau von Otto Baron Pfungen handelt, von dem der Brief 9.6.176 stammt.";Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-23 15:20:48;2026-06-23 15:28:28;Nein;;
9.6.178;Fragment;Piret;;18920203;;"Nur auf dem Fragement zu lesen: ""Dein ergebenster Piret"" und Datierung";"Es handelt sich um einen Ausschnitt aus einem Brief, auf dem nur der Name Piret zu lesen ist.
Aus dem Zettel, auf dem das Fragment aufgeklebt ist, findet sich aber die Notiz: ""Egon Freiherr von Piret de Bihain, geb. 1821, geh. Rat, General d. Cavallerie, Inhaber des Dragonerregimentes N° 9, gew. Obersthofmeister des Erzherzogs Albrecht"".
Feldmarschallleutnant und ritter des Maria Theresien-Ordens, Eugen Freiherr Piret de Bihain lebte von 1821-1902.";Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-23 15:28:32;2026-06-23 15:48:28;Nein;;
9.6.179;Brief;Piret;;18900125;Wien;"Piret ersucht den Adressaten (""Euer Hochwohlgeboren"") um freundliche Unterstützung in der Angelegenheit der Gräfin Consolati aus Riva, die um Nachsicht der Beibringung der wirklichen Adelsprobe für einen Urahnen bittet.";"Der Brief ist nur mit ""Pirat"" unterschrieben, aber eine Notiz von anderer Hand im oberen linken Eck des Briefes nennt den Absender - wie beim Fragment 9.6.178 - als Eugen Piret de Bihain, geb. 1821. 
Die weitere Notiz ist leider in Gabelsberger Kurzschrift geschrieben.";Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-23 15:36:25;2026-06-23 15:44:51;Nein;;
9.6.180;Brief;Plenker, Georg Freiherr v.;Hönigl, Abt Dominik;18770404;Triest;"Freiherr Plenker schreibt an ""Hochwürdiger Herr Prälat"" und bittet ihn um Hilfe in der Angelegenheit seines knapp 9-jährigen Sohnes Hermann (geb. 13.8.1868), der in Triest in die vierte Klasse einer Bürgerschule geht, wo er aber ungezogene Kameraden hätte und nicht viel zu lernen scheint. Frh. Plenker möchte daher die Erziehung seines Sohnes, da er selbst ein ehemaliger Zögling eines Stiftsgymnasiums ist, den bewährten Händen, denen auch er seine Unterricht verdankt, anvertrauen und würde sich wünschen, dass er in Seitenstetten im Konvikt aufgenommen wird. Den weltlichen Schulen wäre die ""tüchtige pädagogische Tradition"", die in den Stiftsgymnasien fortlebe, abhanden gekommen.";Auf der letzten Seite dieses Briefes gibt es eine Bleistiftnotiz, die die Lebensdaten des Vaters (1794-1889) und der Mutter (1807-1889) des Absenders angibt sowie die des Absenders Georg (geb. 1831) und dessen Bruders Theodor (geb. 1838) angibt. Leider ist diese Notiz in Gabelsberger Kurzschrift, sodass die weiteren Anmerkungen nicht entziffert werden konnten.;Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-23 15:44:54;2026-06-23 17:09:22;Nein;;
9.6.181;Visitenkarte;Plenker, Dr. Theodor Freiherr von;;;Waidhofen an der Ybbs;Herzlichen Glückwunsch zur Auszeichnung;Es dürfte sich bei Freiherr Theodor v. Plenker um den Bruder des Absenders des Briefes 9.6.180 handeln (siehe Bleistiftnotiz auf der letztes Seite dieses Briefes).;Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-23 17:09:24;2026-06-23 17:14:39;Nein;;
9.6.182;Brief;Plenker, Dr. Theodor Freiherr von, Advokat;Salzer, P. Anselm;19030316;Waidhofen an der Ybbs;Der Absender schreibt an P. Anselm Salzer, dass er in dessen Auftrag den Recurs an das k.k. Finanzministerium verfasst hätte, er aber zu seiner Legitimation noch eine Vollmacht von Fr. Salzer braucht.;;Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-23 17:14:41;2026-06-23 17:18:47;Nein;;
9.6.183;Brief;Pranck, Clara Freifrau von;Schock, P. Josef (vermutlich - siehe 9.6.186);19070816;Pux;"Freifrau von Pranck bedankt sich beim Adressat (""Hochverehrter, hochwürdiger Herr"" dafür, dass er sich an ihren Namenstag erinnert hat und drückt ihre Freude darüber aus, dass sie mit ihrer Familie die Ferien in der ""grünen Steiermark"" verbringen kann. Sie bedauert, nicht auf die fürstlichen Jagden kommen zu können, und würde sich freuen, wenn der Adressat sie auf der Hin- oder Rückreise zur Jagd in Pux (Station Teufenbach) besuchen würde und wünscht ihm Weidmannsheil für die nächsten Tage.";"In Zusammenhang mit Clara Freifrau von Pranckh gibt es einige weitere Dokumente (9.6.185-189 sowie - aber nicht von ihr geschrieben - 9.6.190).
Auf einigen dieser Dokumente hat Freifrau von Pranckh nur mit ihrem Nachnamen unterschrieben und ist auch außer bei 9.6.186 nie der Adressat genannt, aber es kann aufgrund der Ähnlichkeit der Schrift und der Anrede des Adressaten als ""hochwürdiger Herr"" angenommen werden, dass es sich bei all diesen Briefen bzw. Karten um Schreiben von Clara Freifrau von Pranckh an P. Josef Schock handelt.
Pux ist ein Ort in der Steiermark in der Gemeinde Teufenbach-Katsch im Bezirk Murau. Das Schloss Pux ist im Besitz der Familie Pranckh, die zum steirischen Uradel gehört.";Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-23 17:18:49;2026-06-30 14:49:35;Nein;;
9.6.184;Fragment;Pratobevera;;;;"nur Unterschrift ""Pratobevera""";"von anderer Hand (vermutlich von P. Josef Schock) ist auf dem Zettel, auf dem das Autogramm aufgeklebt ist, vermerkt: ""Protobevera, Frhr. von Wiesborn, Karl, geb. 1769, gest. 1853, Rechtsgelehrter. Wurzbach XXIII 210"" und daneben mit Bleistift die Jahreszahl ""1826"".
Carl Joseph Pratobevera Freiherr von Wiesborn (1769-1853) war ein österreichischer Jurist, u.a. Rektor der Krakauer Universität, Vizepräsident der Hofkommission in Justizsachen, 1823/1824 Rektor der Wiener Universität. 1829 wurde er in den Ritterstand mit dem Prädikat von Wiesborn erhoben und 1838 in den Freiherrenstand. Sein Sohn Adolf Pratobevera von Wiesborn war u.a. 1861/62 Justitzminister, 1867-1870 Landmarschall von Niederösterreich, Abgeordneter zum Herrenhaus und 1864-1874 erster Präsident des Vereins für Landeskunde von Niederösterreich.
";Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-30 11:04:36;2026-06-30 11:23:41;Nein;;
9.6.185;Karte;Pranckh, Freiherr und Freifrau von;Schock, P. Josef (vermutlich - siehe 9.6.186);19150115;München;"Dankeskarte von Freiherr und Freifrau von Pranckh für die Anteilnahme zum Tod ihres ältesten Sohnes, auf die zusätzlich (von Clara von Pranckh) eine Entschuldigung  an den Adressaten (""hochwürdiger Herr""), dass er den Partezettel verspätet bekommt, und ein besonderer Dank für seine freundlichen Zeilen geschrieben ist. Außerdem bittet sie um das Gebet dafür, dass ""die Ströme des edlen Blut nicht umsonst geflossen seien"".";"Siehe auch 9.6.183 und 9.6.186-189 sowie (aber nicht von Clara Freifrau von Pranckh geschrieben) 9.6.190.
";Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-30 11:23:51;2026-06-30 14:50:57;Nein;;
9.6.186;Karte;Pranckh, Freifrau;Schock, Pater Josef;19120105;München;Freifrau Pranckh bedankt sich für die freundlichen Glückwünsche und erwidert sie mit kräftigem Weidmannsheil für 1912. Sie würde sich freuen, wieder in der grünen Mark begrüßen zu können.;"Mit Bleistift ist auf der Karte vermerkt (vermutlich von P. Josef Schock): ""Klara Freiin zu Pranckh, geb. Baronin Malzer"".
Siehe auch 9.6.183, 9.6.185 und 9.6.187-189 sowie (aber nicht von Clara Freifrau von Pranckh geschrieben) 9.6.190.";Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-30 11:37:46;2026-06-30 14:51:46;Nein;;
9.6.187;Karte;Pranckh, Freifrau;Schock, P. Josef (vermutlich - siehe 9.6.186);19121225;;Freifrau Pranckh bedankt sich für die freundlichen Wünsche, den Brief anlässlich der Vemählung ihres Sohnes und für die interessanten Bibliotheksstudien. Sie wünscht gute Feiertage und gesegnetes neues Jahr.;Siehe auch 9.6.183, 9.6.185-186 und 9.6.188-189 sowie (aber nicht von Clara Freifrau von Pranckh geschrieben) 9.6.190.;Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-30 12:41:28;2026-06-30 14:52:30;Nein;;
9.6.188;Karte;Pranckh, Clara Freifrau von;Schock, P. Josef (vermutlich - siehe 9.6.186);;;Clara Pranckh bedankt sich für die interessanten Karten aus dem schönen Kloster des Adressaten (vermutlich P. Josef Schock) und schreibt, dass sie nach zwei schönen Jagdtagen wieder zu ihrem 11-jährigen Sohn nach Hause muss. Sie hofft aber, dass der Adressat am Hin- oder Rückweg zu den Jagden Pux aufsucht und wünscht für den Herbst Weidmannsheil.;"Siehe auch 9.6.183, 9.6.185-187 und 9.6.189 sowie (aber nicht von Clara Freifrau von Pranckh geschrieben) 9.6.190.
Bei dieser Karte hier ist unter die Unterschrift mit Bleistift (vermutlich von P. Josef Schock) ""Baronin Clara Pranckh"" geschrieben.";Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-30 12:46:13;2026-06-30 14:54:31;Nein;;
9.6.189;Brief;Pranckh, Clara Freifrau von;Schock, P. Josef (vermutlich - siehe 9.6.186);19061004;Pux bei Teufenbach;"Clara von Pranckh bedankt sich beim Adressat (""Sehr verehrter hochwürdiger Herr"") für die hübschen und interessanten Ex-Libris und bittet um Geduld, weil sie ihrerseits die versprochenen Ex-Libris erst nach ihrer Rückkehr nach München übersenden kann. Das von Arpad Schmidhammer gezeichnete Ex-Libris hat sie interessiert, weil sie von diesem jungen Künstler in München öfter gehört hat, und die Schwanthaler-Gotik des Ex-Libris von P. Bautraxler scheint ihr Münchner Ursprung zu haben, denn sie würden sich mit den kunstgewerblichen Erzeugnissen der Zeit von König Ludwig I. zu decken. 
Clara von Pranckh freut sich, im Adressaten (vermutlich P. Josef Schock) einen Mann verehren zu dürfen, dem das Wohl der Jugend am Herzen liegt und der die Sinne der Kinder zu fesseln und veredeln weiß.
Sie entschuldigt sich auch noch dafür, dass ihr Mann die besprochenen Siegelabdrücke etc. erst gegen Ende Oktober übersenden kann.";"Siehe auch 9.6.183 und 9.6.185-188 sowie (aber nicht von Clara Freifrau von Pranckh geschrieben) 9.6.190.
Beim im Brief erwähnten Künstler Arpad Schmidhammer handelt es sich um einen deutschen Buchillustrator und Karikaturist (1857-1921).";Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-30 13:30:31;2026-06-30 14:55:12;Nein;;
9.6.190;Fragment;;Schock, P. Josef;;;Biographische Notizen zu Sigmund Frh. Pranckh;Siehe auch die Dokumente 9.6.183 und 9.6.185-189, die vermutlich alle von Clara Freifrau von Pranckh geschrieben und an P. Josef Schock gerichtet sind.;Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-30 14:14:55;2026-06-30 14:48:24;Nein;;
9.6.191;Brief;Rosenfeld, Ludwig Baron;;19130504;Wien;"Baron Rosenfeld schreibt an ""Verehrter Herr Professor"" mit der Bitte um Auskunft, ob ein Sohn eines Bekannten, der in die 2. Klasse Gymnasium geht, ab dem nächsten Schuljahr im Stiftsgymnasium Seitenstetten aufgenommen werden könnte, was für Unterricht und Verpflegung im Stift zu zahlen wäre, was für nicht obligate Gegenstände existieren würden wie Musik oder Sprachen und was das kostet. Der Sohn sei ein Graf aus einer sehr guten Familie.";"Handschriftlich ist mit Bleistift auf diesen Brief von anderer Hand vermerkt:
""Musikstunde 1.50 K - Sprachen von der IV. Klasse an"" und ""Ludwig Baron Rosenfeld""";Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-30 14:41:38;2026-06-30 18:20:34;Nein;;
9.6.192;Visitenkarte;Pusswald, Carl Freiherr von;;;;;Karl Freiherr von Pusswald (*1825 in Prag, +1895 in Wien)war Jurist und österreichischer Beamter, ab 1873 Ministerialrat, ab 1874 Sekionschef und Vorstand der neuerrichteten Eisenbahnsektion, 1886 einige Monate Handelsminister, Verdienste um die Ausarbeitung von Eisenbahngesetzen, 1881 in den Freiherrnstand erhoben, 1883 geheimer Rat, 1887 lebenslängliches Mitglied des Herrenhauses;Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-30 14:55:32;2026-06-30 15:04:29;Nein;;
9.6.193;Brief;;;18970209;Vasvárengje;;Der Brief ist leider auf Ungarisch verfasst.;Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-30 15:04:32;2026-06-30 15:16:07;Nein;;
9.6.194;Brief;Raule, Baronin Emilie;;18860831;;;;Autographensammlung A2, Freiherrn O-Z;;;2026-06-30 15:16:12;2026-06-30 15:50:29;Nein;;
9.6.195;Visitenkarte;Raule, La Baronne;;;;;"née Baronne d'Eskeles
Diese Visitenkarte, auf der außer dem Namen nur ""p.f."" steht, war in den Brief 9.6.194 eingelegt.";Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-30 15:50:31;2026-06-30 15:52:25;Nein;;
9.6.196;Fragment;Redl;;;;"Fragment mit ""Dein ergebener Redl""";"Hinten auf dem Fragment mit der Unterschrift gibt es eine Bleistiftnotiz (vermutlich von P. Josef Schock) in Gabelsberger Kurzschrift, bei der der Name Rottenhausen und Rasztina zu entziffern ist und ""geboren 1830"".
Die Familie Redl von Rottenhausen und Rasztina wurde 1759 von Maria Theresia in den Adelsstand erhoben.";Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-30 15:52:41;2026-06-30 16:02:11;Nein;;
9.6.197;Partezettel;Risenfels, Maria Theodor Reichsfrei- und Panierherr;Schock, P. Josef;18951229;Schloss Rohrbach;Parte für Maria Theodor von Risenfels, verstorben am 29. Dezember 1895 an Herzschlag im 76. Lebensjahr, mit Angabe des Begräbnistermins am 1. Jänner 1896, Einsegnung  um 2.00 Uhr nachmittags in der Schlosskapelle von Rohrbach, Beisetzung am Ortsfriedhof von Weistrach;Er war wirklicher geheimer Rat, Kämmerer und Major d. R., Besitzer des Militärverdinstkreuzes K.-D., Landcomthur des hohen Deutschen Ritter-Ordensm ehrenbürger und Ehrenmitglied mehrerer Gemeinden und Vereine;Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-30 16:03:49;2026-06-30 16:16:39;Nein;;
9.6.198;Brief;Risenfels, Baronin;;;Seisenegg;"Baronin Risenfels bedankt sich beim Adressat (""Hochwürden Herr Professor"") für die liebenswürdige Karte. Er hätte nun das Rätsel um den Ofen gelöst. Sie ist geschmeichelt und erfreut, wie er seines Besuches bei ihnen gedenkt und sich für Seisenegg begeistert und sie lädt zu weiteren Besuchen ein. baronin Risenfels zeigt sich auch sehr gerührt, dass Seine Gnaden die Liebenswürdigkeit hatte, sie trotz des weiten Weges aufzusuchen.";Als Datierung nur angegeben: 31.1. - Da der Brief in die Parte 9.6.198 vom 29. Dezember 1895 eingelegt war, kann vermutet werden, dass er aus dem Jahr 1896 stammt.;Autographensammlung A2, Freiherrn O-Z;;Maria Prüller;2026-06-30 16:16:41;2026-06-30 16:24:32;Nein;;
