Signatur;Kategorie;Schreiber;Empfaenger;Datierung;Ort;Regest;Bemerkungen;Olim;InterneBemerkung;ErfasstVon;ErfasstAm;GeaendertAm;Exportiert;ExportiertAm;ExportHinweis
9.6.86;Ausweis;Conrad-Eybesfeld, Freiherr;Unthamer, Georg;18729999;;Passkarte des Kaiserthums Österreich auf das Jahr 1872 für Herrn Georg Unthamer, Oberlehrer in Fischlham, Oberösterreich - ausgestellt vom KK Statthalter in Österreich ob der Enns, das war damals Sigmund Conrad Freiherr von Eybesfeld (1821-1898);k.k. Statthalter;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-05-26 15:22:22;2026-05-26 15:35:32;Nein;;
9.6.87;Brief;Cramer-Klett, Freiherr;Hönigl, Abt Dominik;19030114;München;Dank für Beantwortung eines Schreibens mit Verständnis für die Ablehung einer Bitte und dem Dank, diese Bitte nicht übel genommen zu haben.;;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-05-26 15:35:44;2026-05-26 15:52:17;Nein;;
9.6.88;Brief;Cramer-Klett;;19000523;Rom;Absender dankt für gütige Anerkennung seines Dankes. Worte aus einem Mund wie der des Empfängers seien Ermunterung und reichlich Entschädigung für akke Angriffe.;;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-05-26 15:52:22;2026-05-26 16:10:33;Nein;;
9.6.89;Visitenkarte;Cramer-Klett, Freiherr von;;;;"sendet in dankbarer Erinnerung Neujahrswünsche an ""Euer Gnaden und den ganzen Konvent von Seitenstetten""";erblicher Reichsrath der Krone Bayer;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-05-26 16:10:37;2026-05-26 16:19:44;Nein;;
9.6.90;Visitenkarte;Cramer-Klett, Freiherr;;;;mit herzlichem Dank;k.Kämmerer u. erblicher Reichsrath der Krone Bayern;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-05-26 16:19:47;2026-05-26 16:21:37;Nein;;
9.6.91;Karte;Cramer-Klett;Schock, P. Josef;;München;Dank und herzliche Wünsche für 1905 (?);;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-05-26 16:21:39;2026-05-26 16:30:54;Nein;;
9.6.92;Karte;Cramer-Klett;Schock, P. Josef;19130110 (?);Wien;herzlichen Dank und innigste Wünsche;;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-05-26 16:25:51;2026-05-26 16:30:11;Nein;;
9.6.93;Brief;Cramer-Klett;;;;übersendet Beileidbekundung zum plötzlichen Tod von P. Heinrich und bittet beiliegende (?) Gegenstände den Sammlungen des verstorbenen Paters einfügen zu wollen.;Empfänger ist vermutlich P. Josef Schock - Es handelt sich um P. Heinrich Hemetsberger, gest. 9.12.1906;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-05-26 16:31:02;2026-05-26 16:45:15;Nein;;
9.6.94;Karte;Cramer-Klett, Th.;Schock, P. Josef;19091111;;Dank für Gratulation;;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-05-26 16:45:18;2026-05-26 16:48:19;Nein;;
9.6.95;Karte;Cramer-Klett;Hemetsberger, P. Heinrich;19060215;München, Ottostraße 9;Cramer-Klett schickt P. Heinrich einige Siegel und Autogramme (u.a. eine Postkarte von der berühmten Schriftstellerin W. von Hillern und einen Brief von F.A. Kaulbach, Maler) und richtet grüße an P.Prior, P. Rochard, P. Gothard und P. Anselm sowie einen Handkuss an den gnädigsten Herrn aus.;"W. von Hillern = Wilhelmine von Hillern (1836-1916), deutsche Schriftstellerin, z.B. Autorin von ""Die Geier-Wally""; Kaulbach = Friedrich August Kaulbach (1850-1920), deutscher Maler";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-05-26 16:48:21;2026-05-26 17:05:36;Nein;;
9.6.96;Karte;Cramer-Klett, Th.;;19109999;Aschau;Glückwünsche zum Jahreswechsel und innigster Dank für güte Wünsche;;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-05-26 17:06:04;2026-05-26 17:09:18;Nein;;
9.6.97;Visitenkarte;Cramer-Klett, Freiherr von;;;;herzlichste Glückwünsche an alle Patres, die die Güte haben, sich an ihn zu erinnern;k. Kämmerer u. erblicher Reichsrath der Krone Bayern;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-05-26 17:09:37;2026-05-26 17:12:02;Nein;;
9.6.98;Brief;Cramer-Klett;;19110320;München;Dank an hochverehrten Herrn Professor, Euer Hochwürden, für die ihm in liebenswürdiger Weise dedicierte Broschüre, Beiträge zur Exlibris-Kunde aus dem Stift Seitenstetten;;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-05-26 17:12:13;2026-05-26 17:15:03;Nein;;
9.6.99;Karte;Cramer-Klett, Th.;Schock, P. Josef;19101112;Aschau;Dank für Gratulation;;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-05-26 17:15:07;2026-05-26 17:19:49;Nein;;
9.6.100;Karte;Cramer-Klett;;;Hohenaschau;herzlicher Dank für Glückwünsche und übersendet neue Autographe vom Prinzregenten von Bayern, von Herrn v. Batteny, Minister des Inneren;;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-05-26 17:19:52;2026-05-26 17:26:35;Nein;;
9.6.101;Karte;Cramer-Klett;Schock, P. Josef;19120325;München;herzlicher Dank für die Monographie mit Seitenstettner Einbänden;"mit dieser Monographie kann der Beitrag von P. Josef Schock im Jahrbuch der österreichischen Ex-Libris-Gesellschaft von 1911 gemeint sein: ""Die Supralibros des Stiftes Seitenstetten""";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-05-26 17:26:54;2026-06-01 10:32:27;Nein;;
9.6.102;Brief;Rimböck, Dr. Carl;Schock, P. Josef (vermutlich);19131011;Wien;"Dr. Rimböck schickt an ""Euer Hochwürden, sehr geehrter Herr Professor"" das versprochenen Autogramme des ehem. Wiener Bürgermeisters Ignaz Czapka aus der Zeit, als dieser noch Ritter war.";Dem Brief liegen ein Autogramm auf einer Legitimationskarte aus dem Jahr 1858 bei sowie ein Brief an das Polizeiministerium, die mit den Nummern 9.6.102a und 9.6.102b inventarisiert wurden.;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-01 10:32:33;2026-06-01 12:49:35;Nein;;
9.6.102a;Karte;;;18580831;Wien;Legitimationskarte N° 2836 für Ignaz Czapka, Ritter von Winstetten, k.k. Hofrath und Polizeidirektor, 63 Jahre alt;Lag dem Brief 9.6.102 bei. - Ignaz Czapka war 1838-1848 Bürgermeister von Wien und 1856-1859 Polizeidirektor von Wien.;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-01 10:44:29;2026-06-01 12:49:56;Nein;;
9.6.102b;Brief;Czapek, Ignaz;Polizei-Ministerium;18590921;;Bitte um Enthebung von seinem Dienstposten;Es handelt sich bei 9.6.102b vermutlich um das Deckblatt des Gesuchs an das Polizeiministerium. Das Datum darauf  ist von anderer Hand vermerkt. Lag dem Brief 9.6.102 von Dr. Rimböck betreffend Autogramme des ehem. Wiener Bürgermeisters Ignaz Czapek bei.;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-01 10:51:48;2026-06-01 12:50:16;Nein;;
9.6.103;Karte;Czedik;Oberndorfer;18960306;;Der Schreiber rät Herrn Oberndorfer sich in einer Angelegenheit betreffend Wartelokalitäten und eins Restaurationslocales direkt an den Eigentümer und die Bahndirektion zu wenden und versichert, dabei behilflich zu sein.;Unter 9.6.78 gibt es einen Brief der NÖ Statthalterei an Herrn Johann Oberndorfer, Reichsrat und Landtagsabgeordneter und Gemeindevorsteher in Weistrach. Vermutlich handelt es sich beim Adressaten dieses Briefes ebenfalls um diese Person.;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-01 11:00:42;2026-06-01 11:35:56;Nein;;
9.6.104;Fragment;Dalberg, Friedrich Freiherr von;;;;"Unterschrift ""Friedrich Fr. v. Dalberg""";"Fragment aus einem Brief mit der Unterschrift ""Friedrich Fr. v. Dalberg"" - Es könnte sich dabei um Friedrich Ferdinand Frh. von Dalberg (1822-1908), Mitglied des Österr. Herrenhauses, Mitglied der Zoologisch-Botanischen Gesellschaft Wien, handeln oder um seinen Sohn Friedrich X. Frh. von Dalberg, (1863-1914), ehem. Schüler des Stiftsgymnasiums Melk, Redakteur der Katholischen Arbeiterzeitung und Mitbegründer der Zeitung ""Reichspost"".";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-01 11:36:07;2026-06-01 11:54:11;Nein;;
9.6.105;Fragment;Dercsényi, Baron Béla;;;;Unterschrift von Baron Béla Dercsény auf einem Brieffragment;"Handschriftlich auf dem Blatt, auf dem das Autogramm aufgeklebt ist, ist vermerkt: ""Adelbert (Bela) Dercsényi de Dercseny, geb. 1847, 24 Unter-Počernitz (Böhmen), verh. 1878 zu Krems mit Laura Freiin von Menßhengen (geb. 1856)""";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-01 11:54:14;2026-06-01 13:06:43;Nein;;
