Kategorie;SignaturUeberordnung;Schreiber;Empfaenger;Datierung;Ort;Regest;Bemerkungen;Olim;InterneBemerkung;Ueberfuehrt;UeberfuehrtAm;ErzeugteSignatur;UeberfuehrungsHinweis
Gymnasialzeugnis;;Stiftsgymnasium Seitenstetten;Wagner, Aemilian;18940714;Seitenstetten;;S. 38;;;;;;
Gymnasialzeugnis;;Stiftsgymnasium Seitenstetten;Wagner, Aemilian;18950209;Seitenstetten;;S. 39;;;;;;
Gymnasialzeugnis;;Stiftsgymnasium Seitenstetten;Wagner, Aemilian;18950713;Seitenstetten;;S. 40;;;;;;
Gymnasialzeugnis;;Stiftsgymnasium Seitenstetten;Wagner, Aemilian;18960215;Seitenstetten;;S. 41;;;;;;
Gymnasialzeugnis;;Stiftsgymnasium Seitenstetten;Wagner, Aemilian;18960714;Seitenstetten;;S. 42;;;;;;
Gymnasialzeugnis;;Stiftsgymnasium Seitenstetten;Wagner, Aemilian;18970213;Seitenstetten;;S. 43;;;;;;
Gymnasialzeugnis;;Stiftsgymnasium Seitenstetten;Wagner, Aemilian;18970714;Seitenstetten;;S. 44;;;;;;
Gymnasialzeugnis;;Stiftsgymnasium Seitenstetten;Wagner, Aemilian;18980212;Seitenstetten;;S. 45;;;;;;
Gymnasialzeugnis;;Stiftsgymnasium Seitenstetten;Wagner, Aemilian;18980714;Seitenstetten;;S. 46;;;;;;
Gymnasialzeugnis;;Stiftsgymnasium Seitenstetten;Wagner, Aemilian;18990211;Seitenstetten;;S. 47;;;;;;
Gymnasialzeugnis;;Stiftsgymnasium Seitenstetten;Wagner, Aemilian;18990715;Seitenstetten;;S. 48;;;;;;
Gymnasialzeugnis;;Stiftsgymnasium Seitenstetten;Wagner, Aemilian;19000210;Seitenstetten;;S. 49;;;;;;
Maturazeugnis;;Stiftsgymnasium Seitenstetten;Wagner, Aemilian;19000721;Seitenstetten;;S. 50-52;;;;;;
Gymnasialzeugnis;;Stiftsgymnasium Seitenstetten;Wagner, Aemilian;19000714;Seitenstetten;;S. 54;;;;;;
Ernennung;;Statthalterei;Wagner, Aemilian;19120429;Wien;;S. 55;;;;;;
