S1;S2;S3;S4;S5;S6;S7;Signatur;Benennung;Profitent;Abt;Datierungvon;Datierungbis;Höhe;Breite;Fläche;Material;Ausstattung;Sprache;Bemerkung;Nalt1;Nalt2;Sortierung;Text;Invocatio;Intitulatio;Arenga;Dispositio;Testes;Datierung22;FuI;Datierungvon2;Datierungbis2;Datierungtext
2;A;95;;;;;StAS 2.A.95;Professurkunde des Sigismundus de Sancto Floriano;Sigismundus de Sancto Floriano;Andreas;15120906;15120906;164;200;32800;Pergament;Initiale I;Latein;;96;95;0002A0095000000000000;;;;;;;;"Abt: Andreas 
Abmessungen (BxH in mm): 200x164";06.09.1512;06.09.1512;06.09.1512
2;A;96;;;;;StAS 2.A.96;Professurkunde des Michael de Anoso;Michael de Anoso;Andreas;15150518;15150518;125;209;26125;Pergament;Initiale I;Latein;;97;96;0002A0096000000000000;;;;;;;;"Abt: Andreas 
Abmessungen (BxH in mm): 209x125";18.05.1515;18.05.1515;18.05.1515
2;A;97;;;;;StAS 2.A.97;Professurkunde des Benedictus Menckh de Anaso;Benedictus Menckh de Anaso;Andreas;15160103;15160103;141;203;28623;Pergament;Initiale I;Latein;;98;97;0002A0097000000000000;;;;;;;;"Abt: Andreas 
Abmessungen (BxH in mm): 203x141";03.01.1516;03.01.1516;03.01.1516
2;A;98;;;;;StAS 2.A.98;Professurkunde des Sigismundus de Varichdorff;Sigismundus de Varichdorff;Andreas;15161106;15161106;145;183;26535;Pergament;Initiale I;Latein;;99;98;0002A0098000000000000;;;;;;;;"Abt: Andreas 
Abmessungen (BxH in mm): 183x145";06.11.1516;06.11.1516;06.11.1516
2;A;99;;;;;StAS 2.A.99;Professurkunde des Sebastianus Praml;Sebastianus Praml;Andreas;15161106;15161106;146;183;26718;Pergament;Initiale I;Latein;;100;99;0002A0099000000000000;;;;;;;;"Abt: Andreas 
Abmessungen (BxH in mm): 183x146";06.11.1516;06.11.1516;06.11.1516
2;A;100;;;;;StAS 2.A.100;Professurkunde des Thomas Gräfl;Thomas Gräfl;Andreas;15191123;15191123;162;151;24462;Pergament;Initiale I;Latein;;101;100;0002A0100000000000000;;;;;;;;"Abt: Andreas 
Abmessungen (BxH in mm): 151x162";23.11.1519;23.11.1519;23.11.1519
2;A;101;;;;;StAS 2.A.101;Professurkunde des Jacobus de Villaco;Jacobus de Villaco;Andreas;15210321;15210321;157;192;30144;Pergament;Initiale I;Latein;;102;101;0002A0101000000000000;;;;;;;;"Abt: Andreas 
Abmessungen (BxH in mm): 192x157";21.03.1521;21.03.1521;21.03.1521
2;A;102;;;;;StAS 2.A.102;Professurkunde des Gregorius de Schönburga;Gregorius de Schönburga;Heinrich;15220821;15220821;178;238;42364;Pergament;Initiale I;Latein;;103;102;0002A0102000000000000;;;;;;;;"Abt: Heinrich 
Abmessungen (BxH in mm): 238x178";21.08.1522;21.08.1522;21.08.1522
2;A;103;;;;;StAS 2.A.103;Professurkunde des Wolfgangus Puechamer de Waytthoffenn;Wolfgangus Puechamer de Waytthoffenn;Heinrich;15230528;15230528;161;181;29141;Pergament;Initiale I;Latein;;104;103;0002A0103000000000000;;;;;;;;"Abt: Heinrich 
Abmessungen (BxH in mm): 181x161";28.05.1523;28.05.1523;28.05.1523
2;A;104;;;;;StAS 2.A.104;Professurkunde des Dyonisius de Enns;Dyonisius de Enns;Heinrich;15231024;15231024;145;218;31610;Pergament;Initiale I;Latein;;105;104;0002A0104000000000000;;;;;;;;"Abt: Heinrich 
Abmessungen (BxH in mm): 218x145";24.10.1523;24.10.1523;24.10.1523
