MMS Record ID,HOL Record ID,Item PID, Barcode, Title, Publisher, Bib Material Type, Creator, Call Number, Permanent Call Number, Permanent Physical Location, Local Location, Holding Type, Item Material Type, Policy, Seq. Number,Chronology,Enumeration,Issue year,Description,Public note,Fulfillment note,Inventory  #,Inventory date,Shelf report #,On shelf date,On shelf seq,Last shelf report,Temp library,Temp location,Temp call # type,Temp call #,Temp item policy,Alt. call # type,Alt. call #,Pieces,Pages,Internal note (1),Internal note (2),Internal note (3),Statistics note (1),Statistics note (2),Statistics note (3),Creation date,Modification date,Status,Process type,Process Id,Number of loans,Last loan,Number of loans in house,Last loan in house,Year-to-date Loans,Receiving date,Copy ID, Receiving number, Weeding number, Weeding date, Other System Number, Committed to Retain, Retention Reason, Retention Note, Temp location in use
"'9910998309524'",'224175330009524','234175310009524',,L'église géorgienne des origines jusqu'à nos jours,Soc. Typ.-Ed. Romaine,Book,"Tamarati, Michel",Tc 2.0014,Tc 2.0014,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC05993701;AC05993701;(Aleph)005937981ACC01;(DE-599)OBVAC05993701;(DE-604)051628317,,,,0
"'9910998409524'",'224175370009524','234175350009524',,Enchiridion fontium historiae ecclesiasticae antiquae,Sumptibus Herder,Book,,Tc 3.0342,Tc 3.0342,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC05992047;AC05992047;(Aleph)005936338ACC01;(DE-599)OBVAC05992047;(DE-604)028990412,,,,0
"'9910998509524'",'224175410009524','234175390009524',,"Kirchengeschichtliche Apologie Sammlung kirchengeschichtlicher Kritiken, Texte und Quellen auf apologetischer Grundlage",Herder,Book,"Deimel, Theodor 1866-1952",Tc 3.0338,Tc 3.0338,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC09449223;AC09449223;(Aleph)009498846ACC01;(DE-599)GBV388793864;(DE-601)388793864,,,,0
"'9910998609524'",'224175450009524','234175430009524',,Geschichte der Katholikenverfolgung in England 1535-1681 : die englischen Märtyrer seit der Glaubensspaltung : ein Beitrag zur Kirchengeschichte Englands,Herdersche Verlagshandlung,Book,"Spillmann, Joseph 1842-1905",Tc 3.0278/2,Tc 3.0278/2,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC13092014;AC13092014;(Aleph)012889201ACC01;(DE-599)OBVAC13092014,,,,0
"'9910998809524'",'224175500009524','234175480009524',,Geschichte der Katholikenverfolgung in England 1535 - 1681 ; die englischen Märtyrer seit der Glaubensspaltung ; ein Beitrag zur Kirchengeschichte Englands,Herder,Book,"Spillmann, Joseph 1842-1905",Tc 3.0278/1,Tc 3.0278/1,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC08063061;(DE-599)OBVAC08063061,,,,0
"'9910998909524'",'224175540009524','234175520009524',,Eucharistie und Bußsakrament in den ersten sechs Jahrhunderten der Kirche,Herdersche Verlagshandlung,Book,"Rauschen, Gerhard 1854-1917",Th 3.0560,Th 3.0560,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC01596747;(DE-599)OBVAC01596747,,,,0
"'9910999009524'",'224175580009524','234175560009524',,Novum testamentum graece et latine utrumque textum cum apparatu critico ex editionibus et libris manu scriptis collecto imprimendum,Privilegierte Württembergische Bibelanst.,Book,Testamentum novum,Bi 4.0042,Bi 4.0042,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC07061156;AC07061156;(Aleph)007110959ACC01;(DE-599)OBVAC07061156;(DE-604)118976060,,,,0
"'9910999109524'",'224175620009524','234175600009524',,Geschichte der Verehrung Marias im 16. und 17. Jahrhundert ein Beitrag zur Religionswissenschaft und Kunstgeschichte,Herder,Book,"Beissel, Stephan 1841-1915",Tc 3.0303,Tc 3.0303,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC00447501;AC00447501;(Aleph)001792049ACC01;(DE-599)OBVAC00447501,,,,0
"'9910999309524'",'224175670009524','234175650009524',,Die Heilige Schrift für das Volk erklärt,St. Josef Vereinsbuchdruckerei,Book,"Linder, Josef 1869-1949",Bi 2.0010/1,Bi 2.0010/1,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC13002811;(DE-599)OBVAC13002811,,,,0
"'9910999409524'",'224175710009524','234175690009524',,Geschichte Österreichs für das Volk,Styria,Book,"Macherl, Peter 1843-1913",Hc 3.0240,Hc 3.0240,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC10089756;(DE-599)OBVAC10089756,,,,0
"'9910999509524'",'224175750009524','234175730009524',,Kalendarische Zusammenstellung österreichischer Geschichtsmomente,<<Heinrich>> Kirsch,Book,"Weinhappel, Johann",Hc 3.0377,Hc 3.0377,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC05932154;AC05932154;(Aleph)005865328ACC01;(DE-599)OBVAC05932154,,,,0
"'9910999609524'",'224175790009524','234175770009524',,Habsburgs Herrscherfrauen ein Festgeschenk für Österreichs Jugend,k. k. Schulbücher-Verl.,Book,"Proschko, Hermine 1851-1923",Hc 3.0366,Hc 3.0366,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC06552003;AC06552003;(Aleph)006438482ACC01;(DE-599)DNB355685752,,,,0
"'9910999709524'",'224175830009524','234175810009524',,"Handbuch zur biblischen Geschichte für den Unterricht in Kirche und Schule, sowie zur Selbstbelehrung",Herder,Book,"Schuster, Ignaz 1813-1869",Bi 3.0491/1,Bi 3.0491/1,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC03749966;AC03749966;(Aleph)003739055ACC01;(DE-599)OBVAC03749966,,,,0
"'9910999809524'",'224175870009524','234175850009524',,Die landesfürstlichen Gesamturbare der Steiermark aus dem Mittelalter,Braumüller,Book,,Hc 3.0804,Hc 3.0804,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC00809422;AC00809422;(Aleph)000877299ACC01;(DE-599)OBVAC00809422,,,,0
"'9910999909524'",'224175910009524','234175890009524',,"Persianischer Rosenthal In welchem viel lustige Historien, scharffsinnige Reden und nützliche Regeln",Naumann,Book,Saʿdī 1210-1291,66.7.9,66.7.9,S_NE1,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC07733913;AC07733913;(Aleph)007541604ACC01;(DE-599)OBVAC07733913,,,,0
"'9911000009524'",'224175950009524','234175930009524',,"Homiliae Sev Sermones Ivdoci Clichtovei Neoportvensis, Doctoris Theologi Et Canonici Carnotensis Ex Confvso Opere In Tres Qvasi Partes Seorsim Digesti, Et Nvnc Rvrsvm Diligentivs Mvlto, Qvam Antehac Vnqvam Excusi ; ... Cvm Indice Novo, Rervm Ac Verborvm Copiosiss. Iam Nvnc Primvm Adiectio",Quentel,Book,"Clicthove, Josse 1472-1543",n 7.10,n 7.10,S_LES,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC08810216;AC08810216;(Aleph)008797531ACC01;(DE-599)OBVAC08810216;(DE-604)013935372,,,,0
"'9911000109524'",'224175990009524','234175970009524',,"Sprichwörter, schöne weise Klugreden ... in etlich 1000 zusammen gebracht (etc.)",Christian Egenolchs Erben,Book,"Franck, Sebastian 1499-1542",65.1.73,65.1.73,S_NE1,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC09870896;AC09870896;(Aleph)009877227ACC01;(DE-599)OBVAC09870896,,,,0
"'9911000209524'",'224176030009524','234176010009524',,"Promptvarivm Morale : Das ist, Sittliche Speißkam[m]er darinnen heylsame Lehren, Gottselig, Christlich, Catholische Vnderweysungen, von löblichen Sitten vnd Tugenden, wider allerley Sünd vnd Laster ...",durch Wolffgang Eder,Book,"Stapleton, Thomas 1535-1598",q 5.19,q 5.19,S_LES,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC10338945;AC10338945;(Aleph)010536051ACC01;(DE-599)OBVAC10338945,,,,0
"'9911000309524'",'224176070009524','234176050009524',,De symbolis heroicis libri IX.,Moretus,Book,"Pietrasanta, Silvestro 1590-1647",67 1.11,67 1.11,S_NE1,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC06611717;AC06611717;(Aleph)006510636ACC01;(DE-599)OBVAC06611717;(DE-604)08400293x,,,,0
"'9911000409524'",'224176110009524','234176090009524',,Diva Virgo Cellensis,Gelbhaar,Book,"Weiss, Thomas",s 2.53,s 2.53,S_LES,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC06044689;AC06044689;(Aleph)006002785ACC01;(DE-599)OBVAC06044689,,,,0
"'9911000509524'",'224176150009524','234176130009524',,Messing nach dem Galmeiverfahren drei Handschriften des 18. Jahrhunderts experimentell erläutert,disserta Verl.,Book,"Hachenberg, Karl F.",Ha 3.0350,Ha 3.0350,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC17615506;(DE-627)746106092;(DE-576)382053982;(DE-599)DNB1034379232;(OCoLC)847003115;(OCoLC)853276630,,,,0
"'9911000609524'",'224176190009524','234176170009524',,"Papst Franziskus wer er ist, wie er denkt, was ihn erwartet",Herder,Book,"Kempis, Stefan <<von>> 1970-",Tc 3.1312,Tc 3.1312,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC10769421;AC10769421;(Aleph)010758207ACC01;(DE-599)DNB1032513071,,,,0
"'9911000709524'",'224176230009524','234176210009524',,Jerusalem Geschichte der Heiligen Stadt im Zeitalter Jesu,Primus-Verl.,Book,,Tc 3.1311,Tc 3.1311,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC11295150;AC11295150;(Aleph)011273805ACC01;(DE-599)DNB1036958590,,,,0
